latency;frametime
19.99999;41.36515
0;987.5054
0;98.64521
41.66676;62.33835
41.66676;41.23259
41.66667;168.2973
41.66667;303.5221
41.66667;148.9282
41.66667;148.6201
41.66667;152.5793
41.66667;34.10625
41.66667;273.0331
41.66667;34.88159
41.66667;154.5191
41.66667;257.4229
41.66667;34.75523
41.66667;149.0836
41.66667;286.541
41.66667;32.25946
41.66667;150.0096
41.66667;272.7423
41.66667;50.99201
41.66667;290.4911
41.66667;146.4539
41.66667;35.58922
41.66667;265.3208
41.66667;50.62389
41.66667;152.3342
41.66667;276.8326
41.66667;36.20815
41.66667;158.0448
41.66667;284.9474
41.66667;34.9741
41.66667;148.7522
333.3333;508.2588
